Adak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:adak
Akiak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:akiak
Akutan,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:akutan
Alakanuk,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:alakanuk
Aleknagik,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:aleknagik
Allakaket,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:allakaket
Ambler,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:ambler
Anaktuvuk Pass,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:anaktuvuk_pass
Anchorage,AK,Region II Elections Office,(907) 522-8683,ocd-division/country:us/state:ak/borough:anchorage
Anderson,AK,Region III Elections Office,(907) 451-2835,ocd-division/country:us/state:ak/place:anderson
Angoon,AK,Region I Elections Office,(907) 465-3021,ocd-division/country:us/state:ak/census_area:hoonah-angoon
Aniak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:aniak
Anvik,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:anvik
Atqasuk,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:atqasuk
Barrow,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:barrow
Bethel,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/census_area:bethel
Bettles,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:bettles
Brevig Mission,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:brevig_mission
Buckland,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:buckland
Chefornak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:chefornak
Chevak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:chevak
Chignik,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:chignik
Chuathbaluk,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:chuathbaluk
Coffman Cove,AK,Region I Elections Office,(907) 465-3021,ocd-division/country:us/state:ak/place:coffman_cove
Cold Bay,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:cold_bay
Cordova,AK,Region I Elections Office,(907) 465-3021,ocd-division/country:us/state:ak/census_area:valdez-cordova
Craig,AK,Region I Elections Office,(907) 465-3021,ocd-division/country:us/state:ak/place:craig
Deering,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:deering
Delta Junction,AK,Region III Elections Office,(907) 451-2835,ocd-division/country:us/state:ak/place:delta_junction
Dillingham,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/census_area:dillingham
Diomede,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:diomede
Eagle,AK,Region III Elections Office,(907) 451-2835,ocd-division/country:us/state:ak/place:eagle
Eek,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:eek
Egegik,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:egegik
Ekwok,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:ekwok
Elim,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:elim
Emmonak,AK,Region IV Elections Office,(907) 443-5285,ocd-division/country:us/state:ak/place:emmonak
